family,Delta,adv,ci
uniform,3.335903939016236,27.749829078826576,8.851188991848549
uniform,6.686700391099507,5.961202262834766,9.205335677571949
uniform,10.013594368002728,-27.025149641621834,9.66816221254046
uniform,13.329486100994945,-46.81937421994709,9.972183841720767
uniform,16.679435277230386,-71.94885429323661,10.071104234010065
triangular,3.730588360433041,29.070967957287387,8.735044837070722
triangular,7.001575160269374,-0.8035844415798709,9.209365315456036
triangular,10.283429864850136,-21.262618850477445,10.04023169489255
triangular,13.989174482818216,-55.50953391774773,9.533527828214831
triangular,17.278407727869528,-76.42380291394527,9.461842291767718
lognormal,4.516837016807628,16.830372296338133,8.64108053913193
lognormal,8.986875058604928,-13.473722819674117,9.579026244467817
lognormal,13.39317477173537,-42.492204871161405,10.286343508857726
lognormal,17.754493885489047,-56.13478185561145,10.662281409433438
lognormal,21.890517430019774,-89.3218537622264,10.88680168055362
