scenario,N,net,t0,method,sigma,time,wait,stops,lefts,rights,links,away
base_N8,8,0,0.0,SP-FF,,1242.8817343420287,474.32275681584895,10,1,2,14,
base_N8,8,0,0.0,SP-STATIC,,1107.475790587303,316.12948380494834,8,3,4,14,
base_N8,8,0,0.0,GREEDY,,952.4884031639838,54.12198654987495,2,4,4,14,
base_N8,8,0,0.0,TD-OPT,,941.5849863369615,60.83129939274248,5,2,3,14,0
base_N8,8,0,15.0,SP-FF,,1227.8817343420287,459.32275681584895,9,1,2,14,
base_N8,8,0,15.0,SP-STATIC,,1092.475790587303,301.12948380494834,7,3,4,14,
base_N8,8,0,15.0,GREEDY,,1142.626813967582,142.88603528384022,6,1,1,14,
base_N8,8,0,15.0,TD-OPT,,926.5849863369615,45.83129939274248,4,2,3,14,0
base_N8,8,0,30.0,SP-FF,,1212.8817343420287,444.32275681584895,9,1,2,14,
base_N8,8,0,30.0,SP-STATIC,,1077.475790587303,286.12948380494834,7,3,4,14,
base_N8,8,0,30.0,GREEDY,,1127.626813967582,127.88603528384022,5,1,1,14,
base_N8,8,0,30.0,TD-OPT,,911.5849863369615,30.83129939274248,4,2,3,14,0
base_N8,8,0,45.0,SP-FF,,1197.8817343420287,429.32275681584895,9,1,2,14,
base_N8,8,0,45.0,SP-STATIC,,1062.475790587303,271.12948380494834,7,3,4,14,
base_N8,8,0,45.0,GREEDY,,907.4884031639838,8.063042982251773,1,3,3,14,
base_N8,8,0,45.0,TD-OPT,,896.5849863369615,15.83129939274248,4,2,3,14,0
base_N8,8,0,60.0,SP-FF,,1302.8817343420287,534.322756815849,10,1,2,14,
base_N8,8,0,60.0,SP-STATIC,,1167.475790587303,376.1294838049483,8,3,4,14,
base_N8,8,0,60.0,GREEDY,,1217.626813967582,218.94497885146308,7,2,2,14,
base_N8,8,0,60.0,TD-OPT,,892.4884031639838,63.65595330762807,5,4,4,14,0
base_N8,8,0,75.0,SP-FF,,1287.8817343420287,519.322756815849,10,1,2,14,
base_N8,8,0,75.0,SP-STATIC,,1152.475790587303,361.1294838049483,8,3,4,14,
base_N8,8,0,75.0,GREEDY,,1202.626813967582,213.85843883492961,7,2,2,14,
base_N8,8,0,75.0,TD-OPT,,986.5849863369615,105.8312993927425,5,2,3,14,0
base_N8,8,0,90.0,SP-FF,,1272.8817343420287,504.32275681584895,10,1,2,14,
base_N8,8,0,90.0,SP-STATIC,,1137.475790587303,346.1294838049483,8,3,4,14,
base_N8,8,0,90.0,GREEDY,,1187.626813967582,198.85843883492961,7,2,2,14,
base_N8,8,0,90.0,TD-OPT,,971.5849863369615,90.8312993927425,5,2,3,14,0
base_N8,8,0,105.0,SP-FF,,1257.8817343420287,489.32275681584895,10,1,2,14,
base_N8,8,0,105.0,SP-STATIC,,1122.475790587303,331.1294838049483,8,3,4,14,
base_N8,8,0,105.0,GREEDY,,1172.626813967582,148.27759289920004,7,2,2,14,
base_N8,8,0,105.0,TD-OPT,,956.5849863369615,75.8312993927425,5,2,3,14,0
base_N8,8,1,0.0,SP-FF,,884.4154528508619,113.07896661781848,4,5,5,14,
base_N8,8,1,0.0,SP-STATIC,,884.4154528508619,113.07896661781848,4,5,5,14,
