ci_time,gap_ci,gap_pct,mean_lefts,mean_rights,mean_stops,mean_time,mean_wait,method,scenario
9.11,0.87,17.09,3.02,3.15,7.13,1116.11,319.62,SP-FF,base_N8
8.55,0.82,15.42,3.7,4.25,6.44,1100.11,293.18,SP-STATIC,base_N8
9.46,0.97,22.03,1.91,1.95,6.1,1162.56,224.58,GREEDY,base_N8
4.44,0.0,0.0,3.4,3.82,3.97,953.7,87.66,TD-OPT,base_N8
10.66,0.98,20.42,3.02,3.15,9.26,1210.76,414.27,SP-FF,no_rtor
9.75,0.98,19.3,2.2,2.52,9.08,1198.55,397.38,SP-STATIC,no_rtor
8.46,0.81,26.57,0.0,1.0,8.82,1271.93,344.37,GREEDY,no_rtor
5.06,0.0,0.0,2.95,3.11,5.85,1006.26,138.15,TD-OPT,no_rtor
8.48,0.86,17.27,3.02,3.15,7.09,1112.87,316.38,SP-FF,left_first
8.37,0.81,15.89,3.7,4.25,6.33,1100.09,293.16,SP-STATIC,left_first
10.54,1.12,26.8,1.93,1.98,5.96,1202.82,264.88,GREEDY,left_first
4.6,0.0,0.0,3.41,3.66,4.0,950.03,83.92,TD-OPT,left_first
12.67,1.25,21.02,3.02,3.15,7.06,1203.55,407.05,SP-FF,sync_zero
9.45,0.85,12.26,3.7,4.25,5.67,1116.89,309.96,SP-STATIC,sync_zero
15.03,1.43,29.22,2.62,2.63,7.3,1285.59,346.79,GREEDY,sync_zero
5.84,0.0,0.0,4.8,5.01,4.0,996.05,143.38,TD-OPT,sync_zero
6.82,0.74,10.03,3.02,3.15,6.96,1016.62,220.12,SP-FF,progressive
6.39,0.64,8.66,3.7,4.25,6.2,1004.32,197.39,SP-STATIC,progressive
6.41,0.78,11.57,1.54,1.72,4.14,1030.26,92.52,GREEDY,progressive
3.88,0.0,0.0,3.23,3.86,3.71,924.92,74.53,TD-OPT,progressive
7.15,1.06,12.26,2.05,2.0,3.67,613.03,154.2,SP-FF,grid_N5
7.03,1.06,12.29,2.23,2.75,3.25,613.05,145.25,SP-STATIC,grid_N5
8.56,1.56,17.81,1.31,1.48,2.79,642.12,108.53,GREEDY,grid_N5
4.76,0.0,0.0,2.0,2.35,2.1,546.59,47.26,TD-OPT,grid_N5
14.11,0.92,17.89,5.17,5.05,11.5,1739.44,508.96,SP-FF,grid_N12
12.9,0.81,16.31,6.22,6.62,10.63,1716.18,472.07,SP-STATIC,grid_N12
13.88,1.05,24.52,2.53,2.55,10.03,1835.74,360.17,GREEDY,grid_N12
6.0,0.0,0.0,5.63,5.96,6.52,1476.09,131.93,TD-OPT,grid_N12
5.28,,,,,,947.62,,TD-NOISY(s=0),VOI
6.59,,,,,,970.24,,TD-NOISY(s=5),VOI
8.93,,,,,,1007.44,,TD-NOISY(s=10),VOI
10.58,,,,,,1055.59,,TD-NOISY(s=20),VOI
11.12,,,,,,1096.15,,TD-NOISY(s=30),VOI
10.53,,,,,,1134.18,,TD-NOISY(s=45),VOI
11.13,,,,,,1156.91,,TD-NOISY(s=60),VOI
